geoid10,avgtvioevt2018,avgtprpevt2018,rtavgtvioevt2018,rtavgtprpevt2018,tpop15,tpden15,condis15,tblack15,tasian15,tlatino15,twhite15,tothrac15,tethhet15,timm15,tage1529,tkids15,tsngpar15,tavghhinc15,tpov15,tpov12515,tunemp15,tedbach15,towner15,tavgval15,tmdval15,tavrent15,tmdrent15,trentburden15,tsfu15,tsmhse15,tvac15,propretail_emp15,propoffice_emp15,propother_emp15,propind_emp15,propent_emp15,propfoodetc_emp15,propedu_emp15,totjobs15,toxconc15,cscore15,ncscore15
17031837800,85.66667175293,290.3333435059,355.6109314,1205.2027588,3110,8010.7983,1.0084615,69.710609,4.8553052,8.4565916,15.11254,1.8649518,48.134758,7.266881,30.691319,55.833332,32.916668,80248.797,30.617977,33.813202,15.434084,40.650856,19.176706,328803.66,338900,1096.149,1230,36.484688,13.778529,64.239273,15.807266,.068113774,.05763473,.21407185,.5879491,.0011227545,.044910181,.026197605,2672,17804.9,13921,373.319
17031838000,54.33333206177,115.666671753,246.85748291,525.5187378000001,2760,13290.951,8.5771017,73.115944,2.1014493,12.173913,10.217391,2.3913043,43.91325,7.173913,31.413044,28.341013,20.506912,48808.434,46.231884,53.623188,15.878616,33.630787,22.46553,285468.59,258200,577.40588,467,41.536613,3.2209737,68.882393,7.6404495,.0025906735,.22279793,.71243525,.062176164,0,0,0,386,18107.4,8766.4902,232.745
17031838100,39,164,245.43737793,1032.0957031,1980,6237.7915,5.1963596,49.292927,10.505051,12.929294,26.21212,1.0606061,66.044846,15.909091,22.222223,25.217392,11.73913,50074.082,34.696968,40.252525,21.666666,35.223881,13.610432,,174700,655.63104,473,46.617336,4.4043322,70.961143,11.407944,.0032182308,.072105765,.78455251,.0081760455,.061407324,.013655736,.056884404,11497,18410.301,8628.6396,240.052
17031838200,24.33333206177,139,110.60605621,631.8181763,2028,4537.542,-.096555524,25,15.039449,17.702169,38.560158,3.698225,73.348854,28.155819,80.522682,24.166666,5,52183.75,38.058254,42.815533,6.6285715,70.828186,40,297032.5,323300,1022.2222,969,58.653847,13.225058,51.282051,7.1925735,.015388097,.040959492,.92668027,.0045259111,0,.012333107,.00011314777,8838,18677.4,10895.8,275.189
17031838300,17.33333396912,152.666671753,92.74121857,816.8361206,1515,11271.055,-3.0471113,45.676567,13.201321,6.2046204,31.81518,3.1023102,66.790489,13.59736,30.825081,42.953022,12.080537,83218.906,25.108225,31.240982,7.5723829,46.831955,23.28125,479546.97,398900,1141.1405,1192,56.837608,7.4277854,78.067169,11.966988,0,.25272331,.55337691,.026143791,.013071896,.11328976,.041394334,459,14372.2,9414.4004,288.133
17031838600,55.33333206177,56,318.92410278,322.766571,1467,15429.327,25.312595,90.38855,0,7.8391275,1.7723246,0,17.653173,2.1131561,27.641445,69.230766,69.230766,21220.449,56.581985,69.591995,19.018404,.52770448,5.5214725,,164200,488.7446,706,55.963303,4.2654028,64.878052,22.748817,.027777778,0,.93055558,0,.041666668,0,0,72,19927.6,4810.1401,134.847
17031838700,163.33334350586,196.666671753,415.39508057,500.1695557,4631,18225.969,17.895479,89.505508,0,5.7654934,1.0148996,3.7141006,19.40699,2.7423882,25.210539,49.95005,45.154846,30339.258,48.646309,53.54126,25.779871,6.6868153,15.915119,163076.25,138300,696.41107,954,66.7295,5.6220717,86.301071,21.499222,.61491442,.081907094,.18092909,.059902202,0,.0061124694,.056234717,818,25787.801,23686.801,770.20502
17031838800,44.33333206177,212.666671753,146.16990662,701.1759644,3526,422.0018,17.320261,52.949516,0,41.661938,5.0765743,.31196824,54.347626,18.60465,22.178104,63.684212,43.947369,33813.352,49.574589,54.991493,24.149378,7.2677598,36.693916,179183.17,133300,389.64496,376,44.194107,41.686184,88.354218,14.051521,.0023339319,.042908438,.072890483,.88186717,0,0,0,5570,16031,14876.5,722.83301
17031839000,49.66666793824,400,49.5378685,398.9627075,8542,42837.477,-13.252481,14.750645,15.113556,7.1060643,58.066029,4.9637089,61.072006,19.058769,38.603371,25.816584,7.977387,107889.26,20.212376,20.407665,3.1666126,78.694527,40.444916,243035.78,252800,1825.7927,2059,43.307724,4.7574973,62.815842,12.624954,.22211204,.23202777,.31482399,.075855233,.016360933,.10461081,.034209222,2017,14828.6,14934.9,436.66299
17031839100,219.66667175293,2550.3332519532,277.49707031,3221.744873,6760,14761.713,-15.71258,13.890533,22.026627,10.103551,51.89349,2.0857987,65.225143,25.621302,48.261833,35.404453,10.433764,125571.41,16.28816,17.553984,5.6561084,73.998299,31.578947,556198.63,361600,1829.8934,1865,42.682926,.73221755,56.509987,17.024055,.0076223291,.50026888,.26151642,.026415702,.004543771,.026641119,.17299177,310535,14299.3,14272.5,408.73199
17031839200,36.66666412354,137.6666564942,150.64364624,565.5984496999999,2368,9422.6914,3.4587944,67.567566,13.217905,5.2787161,11.528716,2.4070947,50.933403,22.804054,20.650337,46.551723,21.182266,45639.984,22.212837,26.182432,8.7620583,46.952835,33.215797,152784.08,154500,836.64203,838,63.282936,3.8140643,75.127335,15.494637,.066350713,.29173249,.57345974,.025803054,0,0,.04265403,1899,14534.7,9418.4199,299.474
17031839500,27,106,170.02519226,667.5062866,1367,13486.661,-.94095492,71.324066,8.632041,2.1214337,16.020483,1.901975,45.735912,11.265545,29.261154,21.585903,5.2863436,70061.82,30.124481,35.933609,1.4678899,46.635513,42.87812,305890.41,308700,475.73334,339,50.279327,21.95122,79.277283,27.783669,.052631579,.042105265,.031578947,0,0,.86842108,.0052631581,190,14217.2,4047.1799,130.356
17031839600,28.33333396912,167.3333435059,167.85150146,991.3112793,1521,12050.753,1.395089,89.546356,.32873109,3.5502958,5.5884285,.9861933,19.365349,2.8270874,17.915846,34.310852,21.994135,57980.891,16.812963,21.404457,10.832232,42.379471,44.585987,301568.56,315200,881.20483,782,76.144585,25.625,92.636421,18.229164,.015414258,.063583814,.76878613,.088631988,0,.063583814,0,519,14141.6,5551.3999,183.69901
17031839700,20,72.3333358765,42.08754349,152.2166138,4417,17636.918,-.24076773,1.2225493,21.870047,41.544037,34.299297,1.0640706,66.167252,27.824316,24.518904,52.873562,16.091953,68057.57,21.711569,25.582975,7.1124854,41.612202,47.36842,324689.34,273900,757.26141,870,50.053024,27.504911,84.968063,8.5461655,.027439024,.50152439,.12195122,.19359756,.0015243902,.11280487,.041158538,656,17764,11460.4,424.349
17031839800,8,45,29.99625015,168.7289124,2834,27576.041,-.6558466,.84685951,31.227947,21.630205,45.165844,1.1291461,65.15004,38.990826,26.058575,35.346096,7.216495,62610.438,18.630911,21.277346,3.7823491,38.974113,38.408897,278691.53,306300,904.93652,985,39.910313,19.126984,90.576851,7.2222214,.36363637,.1,.12272727,.027272727,0,.36818182,.018181818,220,16633.301,6791.0898,239.05901
17031839900,5.66666650773,68,12.67427063,152.0912476,4374,9604.1924,-.46632171,3.7265663,20.164608,24.942844,49.771378,1.3946046,64.782211,20.850481,21.662094,42.65403,15.07109,71300.5,15.294925,24.211248,6.0759492,36.681614,54.384998,278864.5,303300,865.71069,935,47.581703,36.489254,84.691528,7.2159653,.012412304,.055585537,.079870477,.78467351,.0053966539,.037236914,.024824608,1853,17230,12773.5,499.07599
17031840000,5.66666698456,30.6666679383,22.64855003,122.5686188,2891,12656.031,-5.4474697,.48426151,36.008301,19.19751,43.825665,.48426151,64.137001,29.021099,17.087513,47.172619,8.333333,91284.68,9.5588236,16.736694,8.292079,35.158501,64.477615,323696.75,331600,870.50146,877,36.74699,44.811321,84.248039,5.1886826,.25957447,.04255319,.15319149,.23829788,0,.08510638,.2212766,235,16324.6,11506.3,422.98999
17031840100,7.33333301545,47,22.20203781,142.2948761,2957,22806.637,4.7777219,1.0145417,62.056137,14.744674,22.184647,0,54.384426,51.031452,18.532295,43.950996,4.1347628,51985.656,19.416157,34.962662,9.2896175,23.094582,35.166996,229863.13,230100,791.11469,836,44.103394,15.026834,85.796417,8.9445419,.045751635,.0065359478,.52941179,.32026145,0,.098039217,0,153,16366,9361.6201,312.617
17031840200,18,80.666671753,82.19178008999999,368.3409729,2448,7628.8525,-1.3532361,1.9607844,59.640522,12.908498,23.284313,2.2058823,57.255093,51.184639,20.996731,40.429337,5.3667264,70767.156,16.412998,20.156315,10.250569,30.913216,61.887257,288988.31,288400,876,944,50.185875,38.285713,87.650726,6.7428589,.29437229,.067099564,.18831168,.25541127,0,.12337662,.071428575,462,17387.199,12653.7,419.88199
17031840300,19.33333206177,67.6666641236,53.43651581,187.0278168,3917,12204.857,3.9532065,1.684963,22.619352,53.791164,17.998468,3.9060507,62.528343,39.54557,27.201939,38.939053,16.139956,60830.715,18.472652,25.335398,12.821807,17.872177,64.846413,213888.16,221600,800.24274,927,58.495144,47.285603,81.745003,7.7891388,.13884993,.11921459,.01542777,.46704069,0,.25946704,0,713,20882.5,17553.6,555.74701
17031840400,19.33333396912,114.3333358765,61.31726456,362.6176147,3265,8605.6689,2.9382825,.061255738,30.934149,50.260334,18.437979,.30627874,61.769207,40.091885,15.298622,47.299076,5.0065875,57030.348,27.932619,33.966309,11.633986,30.613997,58.32629,228500.44,205200,698.15668,771,61.964737,36.386139,85.652443,2.3927383,.1079862,.048819315,.50437784,.29689574,.006367737,.033165295,.0023879013,3769,19343.9,17300.6,553.80103
17031840700,41.33333206177,135.6666564942,117.82592011,386.7350464,3921,18753.156,11.490175,3.800051,.96914053,87.350166,7.4980869,.38255545,22.982012,40.448864,26.090282,48.148148,27.530865,45676.48,39.377708,45.498596,10.914454,11.87236,34.001823,183000,188600,652.0451,789,54.571842,10.108865,88.03553,14.696732,.12360212,.085344322,.61565626,.10653325,.013537375,.034726311,.020600352,1699,20333.1,17410.6,500.99301
17031840800,21.33333396912,57,65.78271484,175.7631836,2805,22103.248,12.759633,0,0,97.611412,1.604278,.7843138,4.6882391,46.41711,26.844921,50.617283,25.154322,42386.625,34.010696,46.310162,6.2551441,4.975728,35.092026,136003.5,130000,584.98022,743,53.557312,14.755733,88.901016,18.743767,.35449734,.26984128,.015873017,.19047619,0,.16931216,0,189,22813.4,16662.301,520.32098
17031841000,30.66666603089,173.3333435059,299.1869812,1691.0570068,878,1680.5344,-6.0114098,42.027332,25.74032,4.2141228,24.031891,3.9863327,69.599579,28.018223,16.17312,31.840796,13.930348,84624.086,22.437357,23.462414,5.05618,60.978836,52.023121,297818.53,300000,1418.4739,1478,55.084743,1.5570934,76.6129,10.207611,.021563342,.038634323,.66756517,.086552858,0,.18568434,0,3339,14232.8,5748.8799,181.828
17031841100,61.33333206177,205.6666564942,85.6013031,287.0434875,6821,15452.772,7.2249641,2.2577333,89.840195,2.6389093,4.6474123,.61574548,18.947001,69.432632,21.338512,29.686642,7.7515121,47605.535,37.302052,44.002934,9.2877493,23.234449,42.259888,275020.5,279200,689.48804,822,53.818443,6.3475547,90.031105,7.908432,.10585585,.083614863,.28800675,.066159911,.13823198,.3009572,.017173423,3552,15964.1,23983.1,756.14899
17031841200,35.33333587647,91,75.46633147999999,194.3613892,5183,21464.316,8.7336388,8.1227083,2.1802046,75.342468,14.354621,0,40.467262,30.889446,26.500095,52.350815,24.864376,46146.117,26.606213,42.967392,7.9031682,27.552927,22.421785,168602.06,179800,752.59595,874,53.204632,12.026612,81.291199,11.668373,.10402685,.15268457,.013422819,.49664429,0,.18456376,.048657719,596,19334.9,15781,439.48401
17031841300,33,101.666671753,76.76203918,236.4891205,4040,7419.1162,2.2889757,3.6386139,1.3861386,78.787132,13.787128,2.40099,35.815777,41.633663,25.779703,36.814346,12.130802,60852.445,22.10396,24.183168,5.7743955,25.945538,42.323368,184967.58,175300,732.80872,833,28.894472,21.25576,86.324348,15.207375,.17541049,.13656388,.24869844,.31998399,.0012014417,.03364037,.084501401,2497,20116.801,16919.1,499.48599
17031841500,88.66666412354,108.6666641236,374.27886963,458.7026672,2932,17565.887,16.179714,92.803551,.71623462,3.5811734,1.3983629,1.5006821,13.699559,2.319236,33.270805,54.678364,47.222221,36673.25,39.495224,51.705322,20.365536,11.681087,22.080679,144097.59,162900,717.25598,1015,73.85524,10.976594,80.17894,23.970947,.10344828,.049808428,.03065134,.01532567,0,0,.80076629,261,21441.801,10216,302.298
17031841700,35,63.3333358765,242.38227844,438.5964966,1652,16037.147,14.377592,47.820824,0,47.336559,4.8426151,0,54.489677,18.401937,15.708233,48.540146,13.868613,31727.492,41.585957,57.142857,15.413534,8.3643122,19.373219,141667.64,150000,511.76471,658,41.304348,9.3153763,83.841461,21.21212,.043681748,.071762867,.76755071,.078003123,0,.018720748,.020280812,641,21635.699,9349.2998,281.02399
17031841800,57.33333206177,95.3333282471,229.15000916,381.0285034,2756,4344.186,10.822423,94.375908,0,4.0638609,.36284471,1.1973876,10.751076,3.8098693,18.904209,49.667774,34.219269,44254.621,29.756275,37.322662,25.654922,15.595757,43.889481,147575.55,115900,769.40454,921,61.00629,40.569992,76.937271,21.123222,.0067567569,.011261261,.52927929,.4527027,0,0,0,444,13811.4,10674.5,314.37399
17031841900,106.0000076294,758.3333740235,165.85824585,1186.5644531,6509,6572.4678,-17.42889,16.96113,21.769857,13.765555,44.630512,2.8729451,70.487663,19.112,66.016281,42.037304,1.8651363,127394.55,13.424072,14.011209,9.7958126,73.287895,58.982037,367823.66,341100,1831.0192,1959,20.57057,4.2808218,59.834011,4.6803665,.082895339,.39151052,.22320612,.21789305,.000285649,.055758685,.02845064,17504,16104.4,31133.301,885.86902
17031842000,30.66666603089,90.6666641236,97.50926971,288.288269,3106,13635.306,-6.3296909,33.773342,19.929169,8.145525,34.803604,3.3483579,71.733376,27.591759,71.039917,27.731092,6.7226892,103133.34,21.863354,24.347826,4.3227668,34.001431,82.093666,261599.67,254800,1743.0769,2094,75.384613,17.902813,58.821636,7.1611252,.0019903327,.12311629,.20585726,.004549332,0,.029854991,.63463181,3517,14774.8,6692.7998,217.77499
17031842100,84.33333587647,183.3333435059,110.84823608,240.9744263,7664,9755.8604,13.842535,45.172234,.39144051,50.678497,3.3141963,.44363257,53.798252,15.357515,23.395094,60.677383,36.854191,39476.871,33.901691,48.421474,14.063534,13.239211,51.134716,133753.55,140000,734.64911,828,67.039803,28.799654,71.049438,10.578583,.0040635387,.016623568,.14702623,.78315479,.0036941264,.044329517,.0011082379,2707,23791,37676.102,786.99298
17031842200,47.33333587647,723.6666870118,130.79119873,1999.6315918,3058,5058.5723,-12.551376,12.622629,8.5349903,15.434925,60.889469,2.5179856,58.157185,21.223022,28.531719,16.26506,3.8152611,107134.43,11.245902,19.278688,1.5172414,69.128014,30.985916,406441.06,378900,1636.502,1923,27.009645,1.5602145,74.456161,6.5334015,.1229451,.44119328,.1407807,.14084418,.017899079,.07832434,.058013327,15755,15129.7,14861.9,483.534
17031842300,31.66666603089,389.3333435059,101.39822388,1246.6645508,3189,4411.5649,-23.377272,10.285356,5.2994671,7.1809344,73.471306,3.7629352,44.023685,10.598934,29.554718,45.535713,6.25,158282.39,6.7419252,9.1564751,5.2323146,78.255814,55.085323,557644.38,556000,1705.0151,1734,29.939209,2.3002422,74.651901,11.319611,.20730416,.17078334,.13320395,.33521524,.012173606,.099153139,.04216655,5668,16328.9,33033.699,984.495
17031842400,122.66666412354,502.6666564942,395.95437622,1622.552124,3084,4057.385,5.8705878,99.80545,0,.19455253,0,0,.38834211,3.1128404,14.964333,36.677631,15.625,47243.293,26.102465,33.398186,23.895027,29.246101,69.333336,135499.66,129100,966.30139,1139,69.589043,68.284576,82.798164,15.226067,.53169417,.05455244,.13292354,.23511334,0,.045716479,0,2603,15879.8,13661.9,388.09799
17031842500,49.33333206177,65.6666641236,229.99221802,306.1383057,2007,4833.9077,26.541037,99.800697,0,.049825612,.14947683,0,.39795464,.49825612,27.653214,77.53479,77.53479,20010.639,68.195412,76.271187,38.610039,7.6280041,8.6357946,106956.52,87700,366.94797,375,54.579437,13.014461,79.143578,11.123474,.21678321,0,.07692308,.7062937,0,0,0,286,14972.4,10752.3,315.40201
